caldt,vwretd,ewretd
19701130,0.050448,0.003021
19701231,0.060723,0.081324
19710129,0.05203,0.136096
19710226,0.016913,0.04791
19710331,0.044778,0.056603
19710430,0.033332,0.027087
19710528,-0.036409,-0.049435
19710630,0.003119,-0.01724
19710730,-0.040283,-0.053634
19710831,0.042511,0.041159
19710930,-0.005016,-0.004653
19711029,-0.040682,-0.057468
19711130,-0.001262,-0.03415
19711231,0.091257,0.117128
19720131,0.028383,0.103892
19720229,0.031349,0.041809
19720330,0.008722,-0.000951
19720428,0.005505,0.001231
19720531,0.016375,-0.018121
19720630,-0.020896,-0.033775
19720731,-0.004254,-0.029488
19720831,0.035966,0.012252
19720929,-0.007671,-0.030725
19721031,0.008676,-0.013767
19721130,0.049764,0.051096
19721229,0.011243,-0.019873
19730131,-0.027455,-0.026133
19730228,-0.044368,-0.072836
19730330,-0.007851,-0.028981
19730430,-0.051759,-0.07062
19730531,-0.024503,-0.083582
19730629,-0.008647,-0.037745
19730731,0.056954,0.105922
19730831,-0.029648,-0.044417
19730928,0.053937,0.072995
19731031,-0.000427,0.000303
19731130,-0.120703,-0.175252
19731231,0.011425,-0.041764
19740131,0.004408,0.132374
19740228,0.002352,0.008623
19740329,-0.023365,0.008379
19740430,-0.045957,-0.055537
19740531,-0.041982,-0.072545
19740628,-0.022942,-0.033483
19740731,-0.070879,-0.051915
19740830,-0.087756,-0.085788
19740930,-0.109718,-0.079025
19741031,0.165585,0.088877
19741129,-0.041047,-0.051395
19741231,-0.027005,-0.080744
19750131,0.1416,0.29926
19750228,0.058411,0.053918
19750331,0.030191,0.081497
19750430,0.046497,0.031093
19750530,0.05514,0.072876
19750630,0.051473,0.071792
19750731,-0.060385,-0.00896
19750829,-0.023557,-0.048118
19750930,-0.03801,-0.038867
19751031,0.055857,0.01472
19751128,0.031223,0.016796
19751231,-0.010998,-0.000599
19760130,0.126011,0.190037
19760227,0.007314,0.106291
19760331,0.026799,0.018109
19760430,-0.010389,-0.00381
19760528,-0.009369,-0.01968
19760630,0.044487,0.02651
19760730,-0.006157,0.002236
19760831,-0.001435,-0.016673
19760930,0.024484,0.01699
19761029,-0.020373,-0.022586
19761130,0.005364,0.026686
